Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Physical Attack,2014,6/11/2014,9:30 AM,6/11/2014,9:31 AM,Tucson Electric Power,"Nogales, Arizona",WECC,N/A,N/A,"vandalism, physical"
Storm,2014,6/10/2014,9:50 PM,6/11/2014,2:30 PM,American Electric Power,West Virginia,RFC,N/A,"66,383","severe weather, thunderstorm"
Electrical System Separation,2014,6/9/2014,11:07 AM,6/9/2014,11:30 AM,Peak Reliability,"Alberta, Canada",WECC,N/A,Unknown,islanding
Storm,2014,6/7/2014,11:00 PM,6/8/2014,5:30 AM,Southern Company,"North and Central , Alabama",SERC,217,"65,000","severe weather, thunderstorm"
Fuel Supply Emergency,2014,6/6/2014,1:00 PM,Unknown,Unknown,"Luminant Energy Company, LLC",Texas,ERCOT,N/A,Unknown,"fuel supply emergency, coal"
Storm,2014,6/5/2014,3:00 AM,6/7/2014,11:45 PM,Memphis Light Gas and Water Division,"Shelby County, Tennessee",SERC,494,"38,500","severe weather, thunderstorm"
Storm,2014,6/5/2014,1:06 PM,6/5/2014,1:07 PM,Tennessee Valley Authority,West Tennessee,SERC,N/A,"56,475","severe weather, thunderstorm"
Electrical System Separation,2014,6/3/2014,3:32 PM,6/3/2014,3:59 PM,Peak Reliability,"Alberta, Canada",WECC,338,N/A,islanding
Vandalism,2014,6/3/2014,1:38 AM,6/3/2014,1:43 AM,Lower Colorado River Authority,Texas,ERCOT,N/A,Unknown,"vandalism, physical"
Vandalism,2014,5/27/2014,11:00 AM,5/27/2014,4:53 PM,Arizona Public Service Co,"Phoenix, Arizona",WECC,N/A,N/A,"vandalism, physical"
Electrical System Separation,2014,5/26/2014,12:31 PM,5/26/2014,1:18 PM,Peak Reliability,"British Columbia & Alberta, Canada",WECC,N/A,Unknown,islanding
Vandalism,2014,5/23/2014,3:00 PM,5/25/2014,7:00 PM,Duke Energy Progress,North Carolina,SERC,N/A,Unknown,"vandalism, physical"
Vandalism,2014,5/20/2014,7:01 AM,5/20/2014,7:02 AM,PacifiCorp,"Duchesne County, Utah",WECC,N/A,N/A,"vandalism, physical"
Fire,2014,5/16/2014,10:43 AM,5/16/2014,9:00 PM,San Diego Gas & Electric Co,"San Diego & Orange Counties, California",WECC,"3,900","1,400,000","wild fire, public appeal"
