Date,Consumption,Wind,Solar
2013/5/14,1312.383,100.217,140.774
2013/5/15,1300.191,145.053,158.605
2013/5/16,1305.024,104.93,114.32
2013/5/17,1284.766,78.771,100.436
2013/5/18,1078.711,78.889,128.971
2013/5/19,939.305,46.538,130.014
2013/5/20,952.727,80.383,110.032
2013/5/21,1278.721,73.061,114.522
2013/5/22,1303.334,284.96,62.261
2013/5/23,1326.926,57.184,115.916
2013/5/24,1297.862,31.673,111.633
2013/5/25,1076.837,117.78,104.253
2013/5/26,1018.874,216.622,47.51
2013/5/27,1312.264,64.874,101.03
2013/5/28,1305.03,45.633,167.721
2013/5/29,1314.747,47.246,73.389
2013/5/30,1098.099,80.091,104.485
2013/5/31,1194.177,217.785,69.227
2013/6/1,1031.124,232.191,51.37
2013/6/2,902.859,335.581,102.566
2013/6/3,1214.141,199.18,113.787
2013/6/4,1265.2,85.863,160.435
2013/6/5,1277.493,41.861,198.15
2013/6/6,1274.375,36.6,199.384
2013/6/7,1262.887,29.938,185.424
2013/6/8,1065.044,45.098,184.056
2013/6/9,971.738,44.83,135.025
2013/6/10,1258.977,34.973,105.381
2013/6/11,1287.7,17.138,152.641
2013/6/12,1298.307,73.27,154.902
2013/6/13,1289.905,165.61,161.247
2013/6/14,1235.415,128.079,145.845
2013/6/15,1045.69,174.478,166.466
2013/6/16,947.157,131.536,180.661
2013/6/17,1296.348,45.483,195.625
2013/6/18,1328.223,42.101,193.541
2013/6/19,1332.107,89.852,183.087
2013/6/20,1323.408,72.514,156.109
2013/6/21,1241.676,213.912,150.829
2013/6/22,1065.222,156.131,140.864
2013/6/23,959.418,174.394,126.817
2013/6/24,1263.825,75.421,105.581
2013/6/25,1255.952,153.237,78.616
2013/6/26,1237.281,207.452,119.949
2013/6/27,1280.278,69.322,110.938
2013/6/28,1264.697,72.379,121.132
2013/6/29,1037.834,164.649,87.244
2013/6/30,945.689,102.721,145.669
2013/7/1,1249.752,88.984,184.643
2013/7/2,1285.662,33.794,188.047
2013/7/3,1292.684,72.237,94.737
2013/7/4,1303.686,26.835,118.355
2013/7/5,1268.937,30.267,132.874
2013/7/6,1063.859,32.562,188.458
2013/7/7,969.737,38.897,197.394
2013/7/8,1280.343,42.784,201.135
2013/7/9,1305.309,31.469,195.691
2013/7/10,1278.179,118.641,174.394
2013/7/11,1273.06,78.988,146.185
2013/7/12,1254.568,34.973,170.644
2013/7/13,1044.867,51.897,181.094
2013/7/14,952.337,75.881,158.661
2013/7/15,1248.738,38.36,187.018
2013/7/16,1285.767,20.636,196.037
2013/7/17,1295.885,29.274,184.941
2013/7/18,1296.646,54.61,185.537
2013/7/19,1252.492,111.325,186.212
2013/7/20,1061.693,41.309,178.535
2013/7/21,983.663,32.487,204.441
2013/7/22,1280.555,24.172,197.601
2013/7/23,1292.027,50.439,173.505
2013/7/24,1296.148,44.267,130.122
2013/7/25,1317.171,12.119,155.787
2013/7/26,1293.677,21.389,152.87
2013/7/27,1088.862,40.678,173.685
2013/7/28,991.371,99.354,136.815
2013/7/29,1266.935,47.492,83.937
2013/7/30,1241.942,138.28,142.75
2013/7/31,1240.056,146.445,126.546
2013/8/1,1318.543,38.122,185.415
2013/8/2,1314.423,78.589,190.983
2013/8/3,1110.478,98.57,151.469
2013/8/4,1013.331,27.76,140.934
2013/8/5,1293.084,67.812,177.564
2013/8/6,1315.468,91.39,150.527
2013/8/7,1308.647,65.93,111.847
2013/8/8,1291.984,79.666,93.371
2013/8/9,1254.462,19.564,89.341
2013/8/10,1088.538,81.408,144.125
2013/8/11,990.552,99.216,140.225
2013/8/12,1264.423,94.114,133.53
2013/8/13,1281.806,148.391,134.048
2013/8/14,1270.136,110.763,147.257
2013/8/15,1230.894,41.649,161.266
2013/8/16,1235.737,67.69,177.432
2013/8/17,1064.704,50.787,150.753
2013/8/18,1003.82,139.001,104.76
2013/8/19,1279.894,65.016,71.198
2013/8/20,1262.606,43.807,112.443
2013/8/21,1265.775,15.984,159.203
2013/8/22,1277.201,22.69,164.176
2013/8/23,1273.278,84.022,120.405
2013/8/24,1089.364,153.599,134.245
2013/8/25,1005.29,168.659,80.066
2013/8/26,1291.821,148.245,110.897
2013/8/27,1306.896,60.838,95.038
2013/8/28,1295.979,21.264,112.823
2013/8/29,1285.918,11.641,148.324
2013/8/30,1267.145,35.407,145.143
2013/8/31,1072.235,125.602,105.095
2013/9/1,1018.549,189.585,104.101
2013/9/2,1329.525,338.654,73.854
2013/9/3,1344.162,85.246,103.562
2013/9/4,1344.665,22.179,136.972
2013/9/5,1352.091,96.945,165.77
2013/9/6,1330.415,143.776,159.558
2013/9/7,1111.058,73.324,122.7
2013/9/8,1023.103,101.367,69.315
2013/9/9,1315.33,96.836,94.506
2013/9/10,1346.696,131.483,53.687
2013/9/11,1356.023,87.364,57.333
2013/9/12,1343.379,20.095,60.91
2013/9/13,1321.844,34.813,77.841
2013/9/14,1122.69,84.101,60.274
2013/9/15,1037.48,107.882,65.003
2013/9/16,1348.881,202.639,52.846
2013/9/17,1376.859,183.778,98.993
2013/9/18,1382.113,97.357,45.553
2013/9/19,1368.321,109.449,82.166
2013/9/20,1353.114,88.18,46.15
