,负载率
390,0.6559999999999999
391,0.4853
392,0.3475
393,0.2817
394,0.5771999999999999
395,0.7186
396,0.5852
397,0.3046
398,0.41090000000000004
399,0.7203
400,0.5424
401,0.0076
402,0.6859000000000001
403,0.3496
404,0.3804
405,0.23129999999999998
406,0.2805
407,0.4486
408,0.2922
409,0.3264
410,0.2286
411,0.2775
412,0.1202
413,0.5194
414,0.44229999999999997
415,0.435
416,0.2335
417,0.34659999999999996
418,0.5622
419,0.1648
420,0.0863
421,0.0728
422,0.342
423,0.1331
424,0.48950000000000005
425,0.4557
426,0.2708
427,0.7254999999999999
428,0.8628
429,0.4752
430,0.9856
431,0.3741
432,0.29969999999999997
433,0.6341
434,0.25379999999999997
435,0.4557
436,0.9548000000000001
437,0.4935
438,0.6995999999999999
439,0.7902
440,0.56
441,0.6789000000000001
442,0.6393
443,0.1483
444,0.051
445,0.8153
446,0.8695
447,0.5539999999999999
448,0.7539
449,0.4385
450,0.0605
451,0.6618999999999999
452,0.21289999999999998
453,0.40090000000000003
454,0.5566
455,0.49810000000000004
456,0.31579999999999997
457,0.7227
458,0.8771
459,0.9861
460,0.3542
461,0.305
462,0.6183
463,0.5393
464,0.7567
465,0.4264
466,0.9925
467,0.5421
468,0.2893
469,0.8036
470,0.2036
471,0.5683
472,0.5507
473,0.8026000000000001
474,0.7670999999999999
475,0.0643
476,0.2995
477,0.4917
478,0.4743
479,0.6064
480,0.21989999999999998
481,0.1864
482,0.1268
483,0.10550000000000001
484,0.3247
485,0.7039
486,0.7067
487,0.0764
488,0.0461
489,0.1283
490,0.0404
491,0.0
492,0.0633
493,0.0151
494,0.02
495,0.1322
496,0.0363
497,0.5156000000000001
498,0.5295000000000001
499,0.6724
500,0.0033
501,0.183
502,0.35979999999999995
503,0.4029
504,0.6396999999999999
505,0.6009
506,0.1961
507,0.6308
508,0.6970000000000001
509,0.6132
510,0.5634
511,0.0519
512,0.1192
513,0.4071
514,0.1565
515,0.44420000000000004
516,0.3829
517,0.4963
518,0.489
519,0.48869999999999997
520,0.3532
521,0.4378
522,0.3372
523,0.6928
524,0.2688
525,0.5213
526,0.26039999999999996
527,0.7418
528,0.4989
529,0.3282
530,0.29309999999999997
531,1.234
532,0.1174
533,0.1432
534,0.3157
535,0.6579999999999999
536,0.3563
537,0.4947
538,0.1459
539,0.2646
540,0.22440000000000002
541,0.13849999999999998
542,0.6834
543,0.47609999999999997
544,0.1975
545,0.7818
546,0.7816
547,0.7363
548,0.475
549,0.415
550,0.436
551,0.5104
552,0.6071
553,1.0794
554,0.8548
555,0.5934
556,0.2786
557,0.47590000000000005
558,0.44020000000000004
559,0.5573
560,0.9427
561,0.7055
562,0.49119999999999997
563,0.5021
564,0.4793
565,0.188
566,0.7021
567,0.5126
568,0.4379
569,0.6086
570,0.7579
571,0.45899999999999996
572,0.3106
573,0.9317
574,0.4807
575,0.38420000000000004
576,0.6092
577,0.2638
578,0.6114999999999999
579,0.5752
580,0.1693
581,0.2347
582,0.3318
583,0.647
584,0.059000000000000004
585,0.0
586,0.31129999999999997
587,0.5207
588,0.0
589,0.5401
590,0.4686
591,0.4436
592,0.44329999999999997
593,0.5307999999999999
